CHANGE_DATE,CHART,CLASS_CODE,CLASS_NAME,ENTP_NAME,ETC_OTC_NAME,FORM_NAME,INGR_CODE,INGR_ENG_NAME,INGR_ENG_NAME_FULL,INGR_NAME,ITEM_NAME,ITEM_PERMIT_DATE,ITEM_SEQ,MAIN_INGR,MIX_INGR,MIX_TYPE,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,TYPE_NAME
20191127,밝은 분홍색 원형 필름코팅정제,02590,기타의 비뇨생식기관 및 항문용약,한국코러스(주),전문의약품,필름코팅정,D000730,Solifenacin succinate,Solifenacin succinate(솔리페나신숙신산염),솔리페나신숙신산염,솔페리신정10밀리그램(솔리페나신숙신산염),20170929,201707325,[M259862]솔리페나신숙신산염,[M259862]솔리페나신숙신산염,단일,20200924,,,노인주의
20191127,밝은 노란색 원형 필름코팅정제,02590,기타의 비뇨생식기관 및 항문용약,한국코러스(주),전문의약품,필름코팅정,D000730,Solifenacin succinate,Solifenacin succinate(솔리페나신숙신산염),솔리페나신숙신산염,솔페리신정5밀리그램(솔리페나신숙신산염),20170929,201707326,[M259862]솔리페나신숙신산염,[M259862]솔리페나신숙신산염,단일,20200924,,,노인주의
20250415,흰색의 원형 장용성 필름 코팅정,02190,기타의 순환계용약,(주)씨엘팜,일반의약품,장용성필름코팅정,D000452,Aspirin,Aspirin(아스피린),아스피린,비엘피린장용정100밀리그램(아스피린),20171221,201708490,[M040355]아스피린,[M040355]아스피린,단일,20210715,,,노인주의
20240522,흰색의 원형 필름코팅 정제,01140,해열.진통.소염제,에스에스팜(주),전문의약품,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,에스노펜정(아세클로페낙),20180115,201800212,[M040359]아세클로페낙,[M040359]아세클로페낙,단일,20210715,,,노인주의
20240522,흰색의 원형 필름코팅 정제,01140,해열.진통.소염제,주식회사케이에스제약,전문의약품,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아세티정(아세클로페낙),20180129,201800516,[M040359]아세클로페낙,[M040359]아세클로페낙,단일,20210715,,,노인주의
20200728,분홍색의 타원형 필름코팅정 ,02590,기타의 비뇨생식기관 및 항문용약,유니메드제약(주),전문의약품,필름코팅정,D000730,Solifenacin succinate,Solifenacin succinate(솔리페나신숙신산염),솔리페나신숙신산염,오아비정10밀리그램(솔리페나신숙신산염),20180129,201800530,[M259862]솔리페나신숙신산염,[M259862]솔리페나신숙신산염,단일,20200924,,,노인주의
20200728,엷은 분홍색의 타원형 필름코팅정 ,02590,기타의 비뇨생식기관 및 항문용약,유니메드제약(주),전문의약품,필름코팅정,D000730,Solifenacin succinate,Solifenacin succinate(솔리페나신숙신산염),솔리페나신숙신산염,오아비정5밀리그램(솔리페나신숙신산염),20180129,201800531,[M259862]솔리페나신숙신산염,[M259862]솔리페나신숙신산염,단일,20200924,,,노인주의
20240522,흰색의 원형 필름코팅정,01140,해열.진통.소염제,(주)중헌제약,전문의약품,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아세크릴정(아세클로페낙),20180209,201800790,[M040359]아세클로페낙,[M040359]아세클로페낙,단일,20210715,,,노인주의
20240522,흰색의 원형 필름코팅정제,01140,해열.진통.소염제,코스맥스파마(주),전문의약품,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,코스페낙정100밀리그램(아세클로페낙),20180228,201801017,[M040359]아세클로페낙,[M040359]아세클로페낙,단일,20210715,,,노인주의
20250415,흰색의 원형 장용성 필름코팅정,02190,기타의 순환계용약,(주)다산제약,일반의약품,장용성필름코팅정,D000452,Aspirin,Aspirin(아스피린),아스피린,뉴스피린장용정100밀리그램(아스피린),20180328,201801356,[M040355]아스피린,[M040355]아스피린,단일,20210715,,,노인주의
20240522,흰색의 원형 필름코팅정제,01140,해열.진통.소염제,(주)인트로바이오파마,전문의약품,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,로페낙정(아세클로페낙),20180330,201801443,[M040359]아세클로페낙,[M040359]아세클로페낙,단일,20210715,,,노인주의
20250415,흰색의 원형 장용필름코팅정,02190,기타의 순환계용약,한국휴텍스제약(주),일반의약품,장용성필름코팅정,D000452,Aspirin,Aspirin(아스피린),아스피린,휴텍스아스피린장용정100mg(아스피린),20180619,201802534,[M040355]아스피린,[M040355]아스피린,단일,20210715,,,노인주의
20240522,흰색의 장방형 서방성 필름코팅정,01140,해열.진통.소염제,하나제약(주),전문의약품,서방성필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,세니탈CR정(아세클로페낙),20180703,201802770,[M040359]아세클로페낙/[M040359]아세클로페낙,[M040359]아세클로페낙/[M040359]아세클로페낙,단일,20210715,,,노인주의
20250415,흰색의 원형 장용성 필름코팅정,02190,기타의 순환계용약,대웅바이오(주),일반의약품,장용성필름코팅정,D000452,Aspirin,Aspirin(아스피린),아스피린,대웅바이오아스피린장용정100밀리그램,20180730,201803126,[M040355]아스피린,[M040355]아스피린,단일,20210715,,,노인주의
20250415,흰색의 원형 장용성 필름코팅정,02190,기타의 순환계용약,(주)마더스제약,일반의약품,장용성필름코팅정,D000452,Aspirin,Aspirin(아스피린),아스피린,마더스아스피린장용정100mg(아스피린),20180824,201803431,[M040355]아스피린,[M040355]아스피린,단일,20210715,,,노인주의
20240522,흰색의 원형 필름코팅 정제,01140,해열.진통.소염제,(주)시어스제약,전문의약품,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아세테크정(아세클로페낙),20190109,201900089,[M040359]아세클로페낙,[M040359]아세클로페낙,단일,20210715,,,노인주의
20250415,흰색의 원형 장용성 필름코팅정제,02190,기타의 순환계용약,(주)서울제약,일반의약품,장용성필름코팅정,D000452,Aspirin,Aspirin(아스피린),아스피린,서울아스피린장용정,20190115,201900178,[M040355]아스피린,[M040355]아스피린,단일,20210715,,,노인주의
20250415,흰색의 원형 장용성 필름코팅정,02190,기타의 순환계용약,한국넬슨제약(주),일반의약품,필름코팅정,D000452,Aspirin,Aspirin(아스피린),아스피린,케이아스피린장용정(아스피린),20190117,201900221,[M040355]아스피린,[M040355]아스피린,단일,20210715,,,노인주의
20240522,흰색의 원형 필름코팅 정제,01140,해열.진통.소염제,(주)킴스제약,전문의약품,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아세요정(아세클로페낙),20190222,201901099,[M040359]아세클로페낙,[M040359]아세클로페낙,단일,20210715,,,노인주의
20191202,밝은 분홍색 원형 필름코팅정제,02590,기타의 비뇨생식기관 및 항문용약,(주)휴비스트제약,전문의약품,필름코팅정,D000730,Solifenacin succinate,Solifenacin succinate(솔리페나신숙신산염),솔리페나신숙신산염,솔나신정10mg(솔리페나신숙신산염),20190226,201901225,[M259862]솔리페나신숙신산염,[M259862]솔리페나신숙신산염,단일,20200924,,,노인주의
20191202,밝은 노란색 원형 필름코팅정제,02590,기타의 비뇨생식기관 및 항문용약,(주)휴비스트제약,전문의약품,필름코팅정,D000730,Solifenacin succinate,Solifenacin succinate(솔리페나신숙신산염),솔리페나신숙신산염,솔나신정5mg(솔리페나신숙신산염),20190226,201901226,[M259862]솔리페나신숙신산염,[M259862]솔리페나신숙신산염,단일,20200924,,,노인주의
20250415,흰색의 원형 장용성 필름코팅정,02190,기타의 순환계용약,지엘파마(주),일반의약품,장용성필름코팅정,D000452,Aspirin,Aspirin(아스피린),아스피린,지엘아스피린장용정100밀리그램,20190328,201901869,[M040355]아스피린,[M040355]아스피린,단일,20210715,,,노인주의
