CHANGE_DATE,CHART,CLASS_CODE,CLASS_NAME,ENTP_NAME,ETC_OTC_NAME,FORM_NAME,INGR_CODE,INGR_ENG_NAME,INGR_ENG_NAME_FULL,INGR_NAME,ITEM_NAME,ITEM_PERMIT_DATE,ITEM_SEQ,MAIN_INGR,MIX_INGR,MIX_TYPE,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,TYPE_NAME
20140103,흰색의 원형 필름코팅정,02390,기타의 소화기관용약,동화약품(주),전문의약품,필름코팅정,D000425,Metoclopramide,Metoclopramide(메토클로프라미드),메토클로프라미드,맥페란정(메토클로프라미드),19720210,197200484,[M050465]메토클로프라미드,,단일,20150331,,,투여기간주의
20210422,노란색의 원형 장용성 필름코팅정,02380,"하제, 완장제",신일제약(주),일반의약품,장용성당의정,D001300,Bisacodyl,Bisacodyl(비사코딜),비사코딜,신일비사코딜정,19760629,197600483,[M050687]비사코딜,,단일,20231108,,,투여기간주의
20260220,황색의 장용피 원형정제,01140,해열.진통.소염제,동광제약(주),전문의약품,장용성필름코팅정,D000506,Diclofenac Sodium,Diclofenac Sodium(디클로페낙나트륨),디클로페낙나트륨,디페인정(디클로페낙나트륨),19800329,198000058,[M050288]디클로페낙나트륨,,단일,20150507,,,투여기간주의
20220129,흰색 거의 흰색의 유연한 크림으로 이물질이 없이 전질 균등한 외용 크림제이다.,02640,진통.진양.수렴.소염제,(주)동구바이오제약,전문의약품,피부크림제,D000479,Clobetasol Propionate,Clobetasol Propionate(클로베타솔프로피오네이트),클로베타솔프로피오네이트,도모호론크림(클로베타솔프로피오네이트),19810224,198100280,[M223224]클로베타솔프로피오네이트,,단일,20190621,,,투여기간주의
20260220,황갈색의 원형 장용성 제피정제이다.,01140,해열.진통.소염제,하나제약(주),전문의약품,장용성필름코팅정,D000506,Diclofenac Sodium,Diclofenac Sodium(디클로페낙나트륨),디클로페낙나트륨,하나디클로페낙나트륨정(수출용),19820427,198200559,[M050288]디클로페낙나트륨,,단일,20150507,,,투여기간주의
20180614,흰색의 로션,02640,진통.진양.수렴.소염제,(주)한독,전문의약품,피부로션제,D001309,Desoximetasone,Desoximetasone(데속시메타손),데속시메타손,에스파손로션(0.25%)(데속시메타손),19831216,198300438,[M050197]데속시메타손,,단일,20190621,,,투여기간주의
20220129,무색 내지 백색의 전질균등한 외용연고제이다,02640,진통.진양.수렴.소염제,고려제약(주),전문의약품,피부연고제,D000479,Clobetasol Propionate,Clobetasol Propionate(클로베타솔프로피오네이트),클로베타솔프로피오네이트,베타베이트연고(클로베타솔프로피오네이트)(수출명:클로베덤0.05%연고)(CLOBEDERM0.05%Ointment),19830317,198300730,[M223224]클로베타솔프로피오네이트,,단일,20190621,,,투여기간주의
20250415,무색 또는 미황색의 액체가 충진된 갈색 앰플제임.,01140,해열.진통.소염제,아주약품(주),전문의약품,용액주사제,D000506,Diclofenac Sodium,Diclofenac Sodium(디클로페낙나트륨),디클로페낙나트륨,소페낙주사(디클로페낙나트륨),19860628,198600424,[M050288]디클로페낙나트륨,,단일,20150507,,,투여기간주의
20250415,무색 투명한 액체가 든 갈색의 앰플제,01140,해열.진통.소염제,환인제약(주),전문의약품,용액주사제,D000506,Diclofenac Sodium,Diclofenac Sodium(디클로페낙나트륨),디클로페낙나트륨,바렌탁주(디클로페낙나트륨),19860628,198600666,[M050288]디클로페낙나트륨,,단일,20150507,,,투여기간주의
20260220,주황색의 원형장용제피정,01140,해열.진통.소염제,대화제약(주),전문의약품,장용성필름코팅정,D000506,Diclofenac Sodium,Diclofenac Sodium(디클로페낙나트륨),디클로페낙나트륨,레틸론정(디클로페낙나트륨)(수출용),19861117,198601054,[M050288]디클로페낙나트륨,,단일,20150507,,,투여기간주의
20260220,주황색의 원형 장용성 제피정제,01140,해열.진통.소염제,하나제약(주),전문의약품,장용성필름코팅정,D000506,Diclofenac Sodium,Diclofenac Sodium(디클로페낙나트륨),디클로페낙나트륨,하나디클로페낙나트륨정50밀리그램(수출용),19860320,198601164,[M050288]디클로페낙나트륨,,단일,20150507,,,투여기간주의
