CHANGE_DATE,CHART,CLASS_CODE,CLASS_NAME,ENTP_NAME,ETC_OTC_NAME,FORM_NAME,INGR_CODE,INGR_ENG_NAME,INGR_ENG_NAME_FULL,INGR_NAME,ITEM_NAME,ITEM_PERMIT_DATE,ITEM_SEQ,MAIN_INGR,MIX_INGR,MIX_TYPE,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,TYPE_NAME
20220327,흰색의 원형 필름코팅정,06290,기타의 화학요법제,에스케이케미칼(주),전문의약품,필름코팅정,D000589,Tosufloxacine,Tosufloxacine(토수플록사신),토수플록사신,오젝스정(토수플록사신토실산염수화물),20051206,200501778,[M252750]토수플록사신토실산염수화물,,단일,20081211,임부에 대한 안전성 미확립.,,임부금기
20260309,흰색의 장방형 정제,02450,부신호르몬제,에스케이케미칼(주),전문의약품,나정,D000683,Triamcinolone,Triamcinolone(트리암시놀론),트리암시놀론,레더코트정(트리암시놀론),20051206,200501789,[M040661]트리암시놀론,,단일,20130712,동물시험에서 태반 통과 보고.,,임부금기
20240607,노란색의 원형 필름코팅정제,01130,항전간제,한미약품(주),전문의약품,필름코팅정,D000065,Topiramate,Topiramate(토피라메이트),토피라메이트,토피라정100밀리그램(토피라메이트),20050705,200502186,[M087104]토피라메이트,,단일,20140915,"선천성기형(구순열, 구개열, 두개안면결손, 요도밑열림증 등)의 위험 증가 및 높은 유병률(저체중 출생) 보고.",,임부금기
20231113,황색의 원형 필름코팅정,01130,항전간제,명문제약(주),전문의약품,필름코팅정,D000065,Topiramate,Topiramate(토피라메이트),토피라메이트,토파민정(토피라메이트),20050504,200502654,[M087104]토피라메이트,,단일,20140915,"선천성기형(구순열, 구개열, 두개안면결손, 요도밑열림증 등)의 위험 증가 및 높은 유병률(저체중 출생) 보고.",,임부금기
20231113,연한 녹색의 원형 필름코팅정제,01130,항전간제,알보젠코리아(주),전문의약품,필름코팅정,D000065,Topiramate,Topiramate(토피라메이트),토피라메이트,토팜정25밀리그람(토피라메이트),20051129,200502744,[M087104]토피라메이트,,단일,20140915,"선천성기형(구순열, 구개열, 두개안면결손, 요도밑열림증 등)의 위험 증가 및 높은 유병률(저체중 출생) 보고.",,임부금기
20231113,황색의 원형필름코팅정제,01130,항전간제,한림제약(주),전문의약품,필름코팅정,D000065,Topiramate,Topiramate(토피라메이트),토피라메이트,토피론정100밀리그램(토피라메이트),20050131,200502866,[M087104]토피라메이트,,단일,20140915,"선천성기형(구순열, 구개열, 두개안면결손, 요도밑열림증 등)의 위험 증가 및 높은 유병률(저체중 출생) 보고.",,임부금기
20231113,흰색의 원형 필름코팅 정제,01130,항전간제,한림제약(주),전문의약품,필름코팅정,D000065,Topiramate,Topiramate(토피라메이트),토피라메이트,토피론정25밀리그램(토피라메이트),20051212,200502902,[M087104]토피라메이트,,단일,20140915,"선천성기형(구순열, 구개열, 두개안면결손, 요도밑열림증 등)의 위험 증가 및 높은 유병률(저체중 출생) 보고.",,임부금기
20231113,황색의 원형 필름코팅정,01130,항전간제,유니메드제약(주),전문의약품,필름코팅정,D000065,Topiramate,Topiramate(토피라메이트),토피라메이트,유니토파정(토피라메이트),20050323,200503065,[M087104]토피라메이트,,단일,20140915,"선천성기형(구순열, 구개열, 두개안면결손, 요도밑열림증 등)의 위험 증가 및 높은 유병률(저체중 출생) 보고.",,임부금기
20220428,백색 내지 미황색의 동결건조분말이 들어 있는 무색 투명한 바이알,04210,항악성종양제,(주)한국로슈,전문의약품,용액용동결건조분말주사제,D000591,Trastuzumab,Trastuzumab(트라스투주맙),트라스투주맙,"허셉틴주150밀리그램(트라스투주맙)(단클론항체,유전자재조합)",20050719,200511046,[M090706]트라스투주맙,,단일,20130523,양수과소증(치명적인 폐형성저하증 초래)과 관련있는 태아의 신장 발달 및/또는 기능 장애 보고.,,임부금기
20260305,백색 내지 미백색의 타원형 서방정 정제,01130,항전간제,한국애보트(유),전문의약품,서방성필름코팅정,D000535,Valproic acid,Valproic acid(발프로산),발프로산,데파코트서방정250밀리그램(디발프로엑스나트륨),20050615,200511051,[M082087]디발프로엑스나트륨,,단일,20081211,"발프로산은 신경관 이상(예, 척추갈림증)과 같은 태아기형을 유발할 수 있으며, 게다가 자궁 내 노출 시 낮은 IQ점수를 유발할 수 있다.",,임부금기
