BIZRNO,CHANGE_DATE,CHART,CLASS_CODE,CLASS_NAME,DUR_SEQ,EFFECT_NAME,ENTP_NAME,ETC_OTC_CODE,ETC_OTC_NAME,FORM_CODE,FORM_CODE_NAME,FORM_NAME,INGR_CODE,INGR_ENG_NAME,INGR_ENG_NAME_FULL,INGR_NAME,ITEM_NAME,ITEM_PERMIT_DATE,ITEM_SEQ,MAIN_INGR,MIX,MIX_INGR,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,SERS_NAME,TYPE_NAME
1248601143,20260322,흰색의 원형 필름코팅정제,01140,해열.진통.소염제,2463,해열진통소염제,(주)대웅제약,02,전문의약품,010201,필름코팅정,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,에어탈정(아세클로페낙),19941008,199400486,[M040359]아세클로페낙,단일,,20120831,,,비스테로이드성 소염제,효능군중복
8028803696,20240522,"흰색의 원형 필름코팅정제
(수출용: 주황색의 원형 필름코팅정제)",01140,해열.진통.소염제,2463,해열진통소염제,아주약품(주),02,전문의약품,010201,필름코팅정,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아펜탈정(아세클로페낙),19971113,199700916,[M040359]아세클로페낙/[M040359]아세클로페낙,단일,,20120831,,,비스테로이드성 소염제,효능군중복
1188104188,20240522,백색의 원형 필름코팅정,01140,해열.진통.소염제,2463,해열진통소염제,안국약품(주),02,전문의약품,010201,필름코팅정,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아세페낙정(아세클로페낙),19971113,199701226,[M040359]아세클로페낙,단일,,20120831,,,비스테로이드성 소염제,효능군중복
2048640122,20240522,이 약은 백색의 원형 필름코팅 정제이다.,01140,해열.진통.소염제,2463,해열진통소염제,동아에스티(주),02,전문의약품,010201,필름코팅정,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아크로펜정(아세클로페낙),19980504,199800142,[M040359]아세클로페낙,단일,,20120831,,,비스테로이드성 소염제,효능군중복
2078100309,20240522,흰색의 원형 필름코팅 정제,01140,해열.진통.소염제,2463,해열진통소염제,국제약품(주),02,전문의약품,010201,필름코팅정,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,아로펜정(아세클로페낙)(수출명:아로페나정),19980611,199800455,[M040359]아세클로페낙,단일,,20120831,,,비스테로이드성 소염제,효능군중복
2148671641,20240522,흰색의 원형 코팅 정제,01140,해열.진통.소염제,2463,해열진통소염제,(주)셀트리온제약,02,전문의약품,010201,필름코팅정,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,셀트리온아세클로페낙정,19981205,199800519,[M040359]아세클로페낙,단일,,20120831,,,비스테로이드성 소염제,효능군중복
2078136336,20240522,황적색의 팔각형 필림코팅정제(수출용:백색의 팔각형 필림코팅정제),01140,해열.진통.소염제,2463,해열진통소염제,대원제약(주),02,전문의약품,010201,필름코팅정,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,세나펜정(아세클로페낙),19980114,199801524,[M040359]아세클로페낙/[M040359]아세클로페낙,단일,,20120831,,,비스테로이드성 소염제,효능군중복
3078105244,20240522,흰색의 원형 필름코팅정제,01140,해열.진통.소염제,2463,해열진통소염제,한국유나이티드제약(주),02,전문의약품,010201,필름코팅정,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,클란자정(아세클로페낙)(수출명:SpeenacTabs.),19980829,199801547,[M040359]아세클로페낙,단일,,20120831,,,비스테로이드성 소염제,효능군중복
1248135518,20250522,흰색의 원형 필름코팅정,01140,해열.진통.소염제,2463,해열진통소염제,경동제약(주),02,전문의약품,010201,필름코팅정,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,에이서정(아세클로페낙),19980205,199802092,[M040359]아세클로페낙,단일,,20120831,,,비스테로이드성 소염제,효능군중복
1248137632,20250331,흰색의 원형 필름코팅 정제,01140,해열.진통.소염제,2463,해열진통소염제,하나제약(주),02,전문의약품,010201,필름코팅정,필름코팅정,D000739,Aceclofenac,Aceclofenac(아세클로페낙),아세클로페낙,세니탈정(아세클로페낙)(수출명:하나세니탈정),19980812,199802289,[M040359]아세클로페낙,단일,,20120831,,,비스테로이드성 소염제,효능군중복
