CHANGE_DATE,CHART,CLASS_CODE,CLASS_NAME,ENTP_NAME,ETC_OTC_NAME,FORM_NAME,INGR_CODE,INGR_ENG_NAME,INGR_ENG_NAME_FULL,INGR_NAME,ITEM_NAME,ITEM_PERMIT_DATE,ITEM_SEQ,MAIN_INGR,MIX_INGR,MIX_TYPE,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,TYPE_NAME
20131127,백색의 원형정제,01190,기타의 중추신경용약,환인제약(주),전문의약품,나정,D000440,Benztropine Mesylate,Benztropine Mesylate(벤즈트로핀메실산염),벤즈트로핀메실산염,환인벤즈트로핀정(벤즈트로핀메실산염),19710202,197100097,[M247864]벤즈트로핀메실산염,,단일,20140109,생명을 위협하는 경우를 제외하고는 3세 미만 소아에 사용하지 말 것,,특정연령대금기
20180620,흰색의 원형 정제,01410,항히스타민제,영일제약(주),전문의약품,나정,D000026,Cyproheptadine Hydrochloride Hydrate,Cyproheptadine Hydrochloride Hydrate(시프로헵타딘염산염수화물),시프로헵타딘염산염수화물,"영일페리악틴정(시프로헵타딘염산염수화물)(수출명:메디페리악틴정, 메디타딘정)(수출용)",19750205,197500386,[M223093]시프로헵타딘염산염수화물/[M223093]시프로헵타딘염산염수화물,,단일,20140109,안전성 및 유효성 미확립,,특정연령대금기
20130525,황색 당의정,01170,정신신경용제,(주)유영제약,전문의약품,당의정,D000276,Chlorprothixene,Chlorprothixene(클로르프로칙센),클로르프로칙센,트룩살정10밀리그램(클로르프로칙센)(수출용),19760730,197600629,[M051534]클로르프로칙센,,단일,20140109,- 안전성 및 유효성 미확립- 페노치아진계 약물을 소아에 투여한 경우 추체외로증상 특히 운동장애가 나타나기 쉬움,,특정연령대금기
20190911,연한 노란색의 정제,01410,항히스타민제,태극제약(주),일반의약품,나정,D000374,Clemastine Fumarate,Clemastine Fumarate(클레마스틴푸마르산염),클레마스틴푸마르산염,마스질정(클레마스틴푸마르산염),19791210,197900219,[M223199]클레마스틴푸마르산염,,단일,20140109,"진정 또는 수면 무호흡증, 경련, 흥분 등 중추신경증상을 일으킬 수 있음",,특정연령대금기
20220129,흰색 거의 흰색의 유연한 크림으로 이물질이 없이 전질 균등한 외용 크림제이다.,02640,진통.진양.수렴.소염제,(주)동구바이오제약,전문의약품,피부크림제,D000479,Clobetasol Propionate,Clobetasol Propionate(클로베타솔프로피오네이트),클로베타솔프로피오네이트,도모호론크림(클로베타솔프로피오네이트),19810224,198100280,[M223224]클로베타솔프로피오네이트,,단일,20140109,"소아는 체중당 체표면적의 비율이 성인보다 커서 코르티코이드로 인해 HPA축(시상하부-뇌하수체-부신 축) 억제, 쿠싱증후군, 발육장애, 두개내압항진 등이 나타나기 쉬움",,특정연령대금기
20220129,무색 내지 백색의 전질균등한 외용연고제이다,02640,진통.진양.수렴.소염제,고려제약(주),전문의약품,피부연고제,D000479,Clobetasol Propionate,Clobetasol Propionate(클로베타솔프로피오네이트),클로베타솔프로피오네이트,베타베이트연고(클로베타솔프로피오네이트)(수출명:클로베덤0.05%연고)(CLOBEDERM0.05%Ointment),19830317,198300730,[M223224]클로베타솔프로피오네이트,,단일,20140109,"소아는 체중당 체표면적의 비율이 성인보다 커서 코르티코이드로 인해 HPA축(시상하부-뇌하수체-부신 축) 억제, 쿠싱증후군, 발육장애, 두개내압항진 등이 나타나기 쉬움",,특정연령대금기
20201207,주황색의 원형 당의정,01170,정신신경용제,명인제약(주),전문의약품,당의정,D000584,Chlorpromazine Hydrochloride,Chlorpromazine Hydrochloride(클로르프로마진염산염),클로르프로마진염산염,명인클로르프로마진염산염정100mg,19850417,198500616,[M223216]클로르프로마진염산염,,단일,20140109,추체외로증상 특히 운동장애가 나타나기 쉬움,,특정연령대금기
20171122,흰색의 원형정제,01190,기타의 중추신경용약,명인제약(주),전문의약품,나정,D000440,Benztropine Mesylate,Benztropine Mesylate(벤즈트로핀메실산염),벤즈트로핀메실산염,명인벤즈트로핀메실산염정2밀리그램,19850417,198500629,[M247864]벤즈트로핀메실산염,,단일,20140109,생명을 위협하는 경우를 제외하고는 3세 미만 소아에 사용하지 말 것,,특정연령대금기
20210104,주황색의 원형 당의정,01170,정신신경용제,명인제약(주),전문의약품,당의정,D000584,Chlorpromazine Hydrochloride,Chlorpromazine Hydrochloride(클로르프로마진염산염),클로르프로마진염산염,명인클로르프로마진염산염정50mg,19850417,198500636,[M223216]클로르프로마진염산염,,단일,20140109,추체외로증상 특히 운동장애가 나타나기 쉬움,,특정연령대금기
20250415,무색 또는 미황색의 액체가 충진된 갈색 앰플제임.,01140,해열.진통.소염제,아주약품(주),전문의약품,용액주사제,D000506,Diclofenac Sodium,Diclofenac Sodium(디클로페낙나트륨),디클로페낙나트륨,소페낙주사(디클로페낙나트륨),19860628,198600424,[M050288]디클로페낙나트륨,,단일,20140109,벤질알코올은 조숙아에서 치명적인 가쁜 호흡증상과 연관이 있는 것으로 보고됨,,특정연령대금기
