CHANGE_DATE,CHART,CLASS_CODE,CLASS_NAME,ENTP_NAME,ETC_OTC_NAME,FORM_NAME,INGR_CODE,INGR_ENG_NAME,INGR_ENG_NAME_FULL,INGR_NAME,ITEM_NAME,ITEM_PERMIT_DATE,ITEM_SEQ,MAIN_INGR,MIX_INGR,MIX_TYPE,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,TYPE_NAME
20201229,이 약은 흰색 원형정제이다.,02140,혈압강하제,(주)보령,전문의약품,나정,D000176,Captopril,Captopril(캅토프릴),캅토프릴,카프릴정12.5밀리그람(캅토프릴)수출명;Captolongtablet12.5mg(captopril),19861222,198600630,[M081550]캅토프릴,,단일,20130703,,,용량주의
20201229,이 약은 흰색원형 정제이다.,02140,혈압강하제,(주)보령,전문의약품,나정,D000176,Captopril,Captopril(캅토프릴),캅토프릴,카프릴정25mg(캅토프릴)수출명:Captolongtablet25mg(captopril),19870504,198700705,[M081550]캅토프릴,,단일,20130703,,,용량주의
20160825,이약은 양면볼록한 장방형의 흰색정제이다,01170,정신신경용제,(주)보령,전문의약품,나정,D000540,Buspirone Hydrochloride,Buspirone Hydrochloride(부스피론염산염),부스피론염산염,보령부스파정5밀리그램(부스피론염산염),19870323,198700706,[M222852]부스피론염산염,,단일,20131128,,,용량주의
20160825,양면 볼록한 장방형의 흰색정제이다,01170,정신신경용제,(주)보령,전문의약품,나정,D000540,Buspirone Hydrochloride,Buspirone Hydrochloride(부스피론염산염),부스피론염산염,보령부스파정10밀리그램(부스피론염산염),19870625,198700707,[M222852]부스피론염산염,,단일,20131128,,,용량주의
20201229,이 약은 흰색 원형정제이다,02140,혈압강하제,(주)보령,전문의약품,나정,D000176,Captopril,Captopril(캅토프릴),캅토프릴,카프릴정50밀리그람(캅토프릴)수출명:captolongtablet50mg(captopril),19880527,198800823,[M081550]캅토프릴,,단일,20130703,,,용량주의
20151006,양면이 볼록한 장방형의 흰색 정제,01170,정신신경용제,명인제약(주),전문의약품,나정,D000540,Buspirone Hydrochloride,Buspirone Hydrochloride(부스피론염산염),부스피론염산염,명인부스피론염산염정10밀리그램,19910917,199101080,[M222852]부스피론염산염,,단일,20131128,,,용량주의
20171128,양면이 볼록한 장방형의 흰색 정제,01170,정신신경용제,명인제약(주),전문의약품,나정,D000540,Buspirone Hydrochloride,Buspirone Hydrochloride(부스피론염산염),부스피론염산염,명인부스피론염산염정5밀리그램,19910917,199101086,[M222852]부스피론염산염,,단일,20131128,,,용량주의
20130821,청색의 원형 정제,01170,정신신경용제,한국휴텍스제약(주),전문의약품,나정,D000540,Buspirone Hydrochloride,Buspirone Hydrochloride(부스피론염산염),부스피론염산염,스부롤정(부스피론염산염),19920831,199200144,[M222852]부스피론염산염,,단일,20131128,,,용량주의
20180119,연한 적색의 양면에 홈이 파인 장방형 정제 ,02140,혈압강하제,(주)한독,전문의약품,나정,D000398,Ramipril Granules Coated Hydroxypropyl Methylcellulose,Ramipril Granules Coated Hydroxypropyl Methylcellulose(히드록시프로필메틸셀룰로오스로제피한라미프릴과립),히드록시프로필메틸셀룰로오스로제피한라미프릴과립,트리테이스정5밀리그람(라미프릴),19921125,199200883,[M255729]히드록시프로필메틸셀룰로오스로제피한라미프릴과립,,단일,20130703,,,용량주의
20180119,연한황색의 양면에 홈이 파인 장방형 정제.,02140,혈압강하제,(주)한독,전문의약품,나정,D000398,Ramipril Granules Coated Hydroxypropyl Methylcellulose,Ramipril Granules Coated Hydroxypropyl Methylcellulose(히드록시프로필메틸셀룰로오스로제피한라미프릴과립),히드록시프로필메틸셀룰로오스로제피한라미프릴과립,트리테이스정2.5밀리그람(라미프릴),19921125,199200884,[M255729]히드록시프로필메틸셀룰로오스로제피한라미프릴과립,,단일,20130703,,,용량주의
